question_id,answer,mean,std
1,"[2, 2, 2]",2.0,0.0
2,"[2, 2, 2]",2.0,0.0
3,"[2, 2, 2]",2.0,0.0
4,"[2, 2, 2]",2.0,0.0
5,"[2, 2, 2]",2.0,0.0
6,"[2, 2, 2]",2.0,0.0
7,"[3, 3, 3]",3.0,0.0
8,"[2, 2, 2]",2.0,0.0
9,"[2, 2, 2]",2.0,0.0
10,"[2, 2, 2]",2.0,0.0
11,"[2, 2, 2]",2.0,0.0
12,"[2, 2, 2]",2.0,0.0
13,"[2, 2, 2]",2.0,0.0
14,"[2, 2, 2]",2.0,0.0
15,"[2, 2, 2]",2.0,0.0
16,"[2, 2, 2]",2.0,0.0
17,"[2, 2, 2]",2.0,0.0
18,"[3, 3, 3]",3.0,0.0
19,"[1, 1, 1]",1.0,0.0
20,"[4, 4, 4]",4.0,0.0
21,"[3, 3, 3]",3.0,0.0
22,"[2, 2, 2]",2.0,0.0
23,"[3, 3, 3]",3.0,0.0
24,"[3, 3, 3]",3.0,0.0
